Seizoen;Datum;Thuisclub;Uitclub;Thuisscore;Uitscore
2000-2001;18/08/2000;Sparta;Roda JC;2;2
2000-2001;19/08/2000;De Graafschap;PSV;2;0
2000-2001;19/08/2000;Feyenoord;AZ;2;0
2000-2001;19/08/2000;NAC;RKC Waalwijk;0;1
2000-2001;20/08/2000;FC Groningen;Willem II;1;1
2000-2001;20/08/2000;FC Utrecht;SC Heerenveen;2;0
2000-2001;20/08/2000;RBC Roosendaal;NEC;2;3
2000-2001;20/08/2000;Vitesse;FC Twente;3;1
2000-2001;22/08/2000;Ajax;Fortuna Sittard;5;0
2000-2001;23/08/2000;FC Groningen;NEC;4;4
2000-2001;26/08/2000;AZ;RBC Roosendaal;3;0
2000-2001;26/08/2000;De Graafschap;Roda JC;1;3
2000-2001;26/08/2000;Fortuna Sittard;SC Heerenveen;0;2
2000-2001;26/08/2000;NAC;FC Groningen;5;1
2000-2001;26/08/2000;Willem II;RKC Waalwijk;2;0
2000-2001;27/08/2000;FC Twente;Feyenoord;1;2
2000-2001;27/08/2000;FC Utrecht;PSV;1;3
2000-2001;27/08/2000;NEC;Vitesse;4;1
2000-2001;27/08/2000;Sparta;Ajax;3;0
2000-2001;03/09/2000;RKC Waalwijk;RBC Roosendaal;2;1
2000-2001;05/09/2000;PSV;Willem II;2;2
2000-2001;06/09/2000;Ajax;NEC;0;0
2000-2001;06/09/2000;FC Groningen;De Graafschap;1;0
2000-2001;06/09/2000;FC Twente;SC Heerenveen;2;2
2000-2001;06/09/2000;NAC;Roda JC;1;1
2000-2001;06/09/2000;RKC Waalwijk;AZ;3;0
2000-2001;06/09/2000;Vitesse;Sparta;5;1
2000-2001;08/09/2000;Fortuna Sittard;PSV;0;3
2000-2001;09/09/2000;Ajax;FC Groningen;3;1
2000-2001;09/09/2000;De Graafschap;AZ;4;2
2000-2001;09/09/2000;Feyenoord;RKC Waalwijk;3;1
2000-2001;09/09/2000;Roda JC;FC Twente;2;2
2000-2001;09/09/2000;SC Heerenveen;NAC;2;1
2000-2001;09/09/2000;Willem II;Vitesse;2;2
2000-2001;10/09/2000;NEC;FC Utrecht;1;1
2000-2001;10/09/2000;Sparta;RBC Roosendaal;3;5
2000-2001;13/09/2000;NAC;RBC Roosendaal;2;1
2000-2001;16/09/2000;NAC;De Graafschap;3;0
2000-2001;16/09/2000;PSV;Sparta;2;1
2000-2001;17/09/2000;AZ;Ajax;3;2
2000-2001;17/09/2000;FC Utrecht;FC Twente;1;2
2000-2001;17/09/2000;NEC;Fortuna Sittard;1;1
2000-2001;17/09/2000;RBC Roosendaal;FC Groningen;0;2
2000-2001;17/09/2000;Vitesse;RKC Waalwijk;1;0
2000-2001;22/09/2000;Ajax;RBC Roosendaal;2;0
2000-2001;23/09/2000;Fortuna Sittard;Vitesse;1;4
2000-2001;24/09/2000;FC Groningen;FC Utrecht;1;3
2000-2001;24/09/2000;FC Twente;De Graafschap;3;1
2000-2001;24/09/2000;NAC;Willem II;2;0
2000-2001;24/09/2000;RKC Waalwijk;NEC;0;0
2000-2001;01/10/2000;De Graafschap;Feyenoord;2;3
2000-2001;01/10/2000;FC Groningen;PSV;0;1
2000-2001;01/10/2000;RKC Waalwijk;FC Twente;1;1
2000-2001;01/10/2000;Roda JC;AZ;4;2
2000-2001;01/10/2000;Sparta;Willem II;1;2
2000-2001;01/10/2000;Vitesse;FC Utrecht;2;1
2000-2001;02/10/2000;SC Heerenveen;Ajax;2;2
2000-2001;13/10/2000;AZ;NAC;3;1
2000-2001;14/10/2000;FC Twente;Fortuna Sittard;1;1
2000-2001;14/10/2000;PSV;NEC;0;0
2000-2001;14/10/2000;Roda JC;FC Groningen;2;0
2000-2001;14/10/2000;SC Heerenveen;RKC Waalwijk;1;1
2000-2001;14/10/2000;Willem II;FC Utrecht;6;2
2000-2001;15/10/2000;RBC Roosendaal;De Graafschap;2;4
2000-2001;15/10/2000;Sparta;Feyenoord;1;4
2000-2001;15/10/2000;Vitesse;Ajax;3;2
2000-2001;20/10/2000;Ajax;Roda JC;4;2
2000-2001;21/10/2000;De Graafschap;Willem II;1;1
2000-2001;21/10/2000;FC Twente;Sparta;3;1
2000-2001;21/10/2000;Feyenoord;SC Heerenveen;2;0
2000-2001;22/10/2000;AZ;Vitesse;0;2
2000-2001;22/10/2000;FC Groningen;Fortuna Sittard;4;0
2000-2001;22/10/2000;FC Utrecht;RBC Roosendaal;5;3
2000-2001;27/10/2000;AZ;FC Twente;5;0
2000-2001;27/10/2000;Fortuna Sittard;NAC;1;2
2000-2001;28/10/2000;SC Heerenveen;De Graafschap;1;0
2000-2001;29/10/2000;FC Utrecht;Feyenoord;1;1
2000-2001;29/10/2000;NEC;Willem II;3;0
2000-2001;29/10/2000;PSV;Ajax;1;1
2000-2001;29/10/2000;Roda JC;RKC Waalwijk;0;1
2000-2001;29/10/2000;Sparta;FC Groningen;2;0
2000-2001;01/11/2000;NEC;De Graafschap;2;1
2000-2001;01/11/2000;PSV;Vitesse;2;0
2000-2001;01/11/2000;RKC Waalwijk;FC Utrecht;4;1
2000-2001;01/11/2000;Roda JC;Fortuna Sittard;1;0
2000-2001;01/11/2000;SC Heerenveen;Sparta;1;1
2000-2001;02/11/2000;Feyenoord;RBC Roosendaal;5;1
2000-2001;04/11/2000;FC Twente;PSV;0;2
2000-2001;04/11/2000;NAC;NEC;2;2
2000-2001;05/11/2000;De Graafschap;Vitesse;1;2
2000-2001;05/11/2000;FC Groningen;AZ;1;2
2000-2001;05/11/2000;FC Utrecht;Sparta;1;1
2000-2001;05/11/2000;Feyenoord;Roda JC;4;2
2000-2001;05/11/2000;RBC Roosendaal;Fortuna Sittard;3;1
2000-2001;05/11/2000;Willem II;Ajax;0;1
2000-2001;10/11/2000;RBC Roosendaal;Willem II;2;1
2000-2001;11/11/2000;Fortuna Sittard;RKC Waalwijk;0;0
2000-2001;12/11/2000;Ajax;De Graafschap;4;1
2000-2001;12/11/2000;AZ;FC Utrecht;2;1
2000-2001;12/11/2000;FC Twente;NAC;4;0
2000-2001;12/11/2000;PSV;Feyenoord;1;0
2000-2001;12/11/2000;Roda JC;SC Heerenveen;3;1
2000-2001;12/11/2000;Sparta;NEC;0;2
2000-2001;12/11/2000;Vitesse;FC Groningen;2;2
2000-2001;17/11/2000;Roda JC;FC Utrecht;2;1
2000-2001;18/11/2000;Fortuna Sittard;AZ;1;1
2000-2001;18/11/2000;SC Heerenveen;PSV;1;4
2000-2001;18/11/2000;Vitesse;RBC Roosendaal;2;1
2000-2001;18/11/2000;Willem II;FC Twente;2;2
2000-2001;19/11/2000;NAC;Ajax;0;3
2000-2001;19/11/2000;NEC;Feyenoord;1;3
2000-2001;19/11/2000;RKC Waalwijk;De Graafschap;1;0
2000-2001;25/11/2000;AZ;Sparta;1;1
2000-2001;25/11/2000;De Graafschap;Fortuna Sittard;5;1
2000-2001;25/11/2000;RBC Roosendaal;Roda JC;0;4
2000-2001;26/11/2000;FC Twente;FC Groningen;3;0
2000-2001;26/11/2000;FC Utrecht;Ajax;2;1
2000-2001;26/11/2000;Feyenoord;Willem II;1;0
2000-2001;26/11/2000;NEC;SC Heerenveen;0;0
2000-2001;26/11/2000;PSV;NAC;2;1
2000-2001;28/11/2000;Roda JC;Vitesse;2;3
2000-2001;29/11/2000;Feyenoord;Sparta;2;1
2000-2001;29/11/2000;RBC Roosendaal;NAC;0;1
2000-2001;29/11/2000;SC Heerenveen;AZ;1;1
2000-2001;30/11/2000;Ajax;RKC Waalwijk;3;0
2000-2001;01/12/2000;Roda JC;PSV;1;2
2000-2001;02/12/2000;Fortuna Sittard;FC Utrecht;0;1
2000-2001;02/12/2000;Sparta;De Graafschap;2;1
2000-2001;02/12/2000;Willem II;AZ;1;1
2000-2001;03/12/2000;Ajax;SC Heerenveen;6;2
2000-2001;03/12/2000;NEC;FC Twente;1;0
2000-2001;03/12/2000;RKC Waalwijk;FC Groningen;0;0
2000-2001;09/12/2000;AZ;NEC;0;0
2000-2001;09/12/2000;De Graafschap;FC Groningen;0;4
2000-2001;09/12/2000;Fortuna Sittard;Sparta;2;1
2000-2001;09/12/2000;Roda JC;Willem II;0;1
2000-2001;10/12/2000;FC Utrecht;NAC;5;0
2000-2001;10/12/2000;Feyenoord;Ajax;3;1
2000-2001;10/12/2000;Vitesse;SC Heerenveen;0;0
2000-2001;12/12/2000;FC Twente;Roda JC;0;2
2000-2001;12/12/2000;RKC Waalwijk;PSV;1;1
2000-2001;13/12/2000;Fortuna Sittard;Feyenoord;2;4
2000-2001;13/12/2000;SC Heerenveen;Willem II;0;1
2000-2001;13/12/2000;Sparta;NAC;1;2
2000-2001;13/12/2000;Vitesse;AZ;3;2
2000-2001;16/12/2000;NAC;Vitesse;1;1
2000-2001;16/12/2000;Willem II;Fortuna Sittard;3;1
2000-2001;17/12/2000;Ajax;FC Twente;5;1
2000-2001;17/12/2000;AZ;PSV;0;5
2000-2001;17/12/2000;De Graafschap;FC Utrecht;0;3
2000-2001;17/12/2000;FC Groningen;Feyenoord;1;0
2000-2001;17/12/2000;NEC;Roda JC;0;2
2000-2001;17/12/2000;RBC Roosendaal;SC Heerenveen;0;3
2000-2001;17/12/2000;RKC Waalwijk;Sparta;2;0
2000-2001;20/12/2000;FC Utrecht;RKC Waalwijk;2;1
2000-2001;20/12/2000;Feyenoord;Vitesse;2;0
2000-2001;20/12/2000;Willem II;NEC;2;0
2000-2001;21/12/2000;FC Groningen;SC Heerenveen;2;1
2000-2001;21/12/2000;PSV;Fortuna Sittard;1;1
2000-2001;21/12/2000;RBC Roosendaal;FC Twente;2;2
2000-2001;27/01/2001;PSV;RBC Roosendaal;6;0
2000-2001;28/01/2001;Feyenoord;NAC;2;0
2000-2001;31/01/2001;Fortuna Sittard;Roda JC;1;0
2000-2001;31/01/2001;NEC;RBC Roosendaal;2;3
2000-2001;31/01/2001;PSV;FC Groningen;3;0
2000-2001;31/01/2001;SC Heerenveen;Feyenoord;1;0
2000-2001;31/01/2001;Vitesse;NAC;2;4
2000-2001;31/01/2001;Willem II;Sparta;4;1
2000-2001;01/02/2001;De Graafschap;Ajax;1;3
2000-2001;03/02/2001;FC Twente;Willem II;3;1
2000-2001;03/02/2001;RBC Roosendaal;RKC Waalwijk;0;3
2000-2001;04/02/2001;AZ;Feyenoord;0;3
2000-2001;04/02/2001;Fortuna Sittard;De Graafschap;0;0
2000-2001;04/02/2001;Sparta;PSV;0;1
2000-2001;04/02/2001;Vitesse;NEC;2;2
2000-2001;09/02/2001;De Graafschap;Sparta;2;1
2000-2001;10/02/2001;PSV;AZ;3;0
2000-2001;11/02/2001;Ajax;Willem II;1;1
2000-2001;11/02/2001;FC Utrecht;NEC;1;1
2000-2001;11/02/2001;Feyenoord;FC Groningen;1;0
2000-2001;11/02/2001;RKC Waalwijk;Vitesse;3;0
2000-2001;11/02/2001;Roda JC;RBC Roosendaal;2;1
2000-2001;16/02/2001;Fortuna Sittard;Ajax;0;3
2000-2001;17/02/2001;RBC Roosendaal;AZ;2;3
2000-2001;17/02/2001;SC Heerenveen;Roda JC;0;0
2000-2001;18/02/2001;FC Groningen;FC Twente;2;0
2000-2001;18/02/2001;FC Utrecht;De Graafschap;3;1
2000-2001;18/02/2001;NAC;PSV;1;2
2000-2001;18/02/2001;Sparta;RKC Waalwijk;2;2
2000-2001;21/02/2001;NAC;FC Twente;0;0
2000-2001;23/02/2001;NEC;Sparta;0;3
2000-2001;23/02/2001;Willem II;SC Heerenveen;1;6
2000-2001;24/02/2001;AZ;Roda JC;2;4
2000-2001;24/02/2001;FC Twente;Vitesse;2;1
2000-2001;24/02/2001;RKC Waalwijk;Fortuna Sittard;1;0
2000-2001;25/02/2001;Ajax;FC Utrecht;2;0
2000-2001;25/02/2001;FC Groningen;NAC;0;0
2000-2001;25/02/2001;Feyenoord;PSV;1;2
2000-2001;02/03/2001;RKC Waalwijk;NAC;0;0
2000-2001;02/03/2001;SC Heerenveen;FC Groningen;0;0
2000-2001;03/03/2001;PSV;Roda JC;0;0
2000-2001;03/03/2001;Willem II;De Graafschap;6;0
2000-2001;04/03/2001;FC Utrecht;Fortuna Sittard;1;0
2000-2001;04/03/2001;NEC;AZ;1;1
2000-2001;04/03/2001;RBC Roosendaal;Ajax;1;3
2000-2001;04/03/2001;Sparta;FC Twente;5;1
2000-2001;04/03/2001;Vitesse;Feyenoord;0;0
2000-2001;09/03/2001;De Graafschap;SC Heerenveen;0;1
2000-2001;09/03/2001;Roda JC;NAC;1;0
2000-2001;10/03/2001;AZ;RKC Waalwijk;1;3
2000-2001;10/03/2001;FC Twente;NEC;1;1
2000-2001;10/03/2001;Fortuna Sittard;RBC Roosendaal;2;1
2000-2001;11/03/2001;FC Groningen;Ajax;3;3
2000-2001;11/03/2001;FC Utrecht;Vitesse;0;0
2000-2001;11/03/2001;Willem II;Feyenoord;3;1
2000-2001;16/03/2001;RBC Roosendaal;Vitesse;0;3
2000-2001;17/03/2001;AZ;Fortuna Sittard;0;2
2000-2001;17/03/2001;NAC;SC Heerenveen;2;2
2000-2001;17/03/2001;Roda JC;De Graafschap;3;1
2000-2001;18/03/2001;Ajax;Sparta;9;0
2000-2001;18/03/2001;Feyenoord;FC Twente;5;1
2000-2001;18/03/2001;NEC;FC Groningen;1;0
2000-2001;18/03/2001;PSV;FC Utrecht;5;1
2000-2001;18/03/2001;RKC Waalwijk;Willem II;3;2
2000-2001;31/03/2001;AZ;De Graafschap;0;1
2000-2001;31/03/2001;NAC;Fortuna Sittard;1;0
2000-2001;31/03/2001;PSV;FC Twente;2;1
2000-2001;31/03/2001;SC Heerenveen;RBC Roosendaal;2;0
2000-2001;31/03/2001;Willem II;Roda JC;1;1
2000-2001;01/04/2001;FC Groningen;Vitesse;0;1
2000-2001;01/04/2001;NEC;Ajax;1;0
2000-2001;01/04/2001;RKC Waalwijk;Feyenoord;2;0
2000-2001;01/04/2001;Sparta;FC Utrecht;0;1
2000-2001;06/04/2001;FC Utrecht;AZ;1;0
2000-2001;07/04/2001;De Graafschap;RBC Roosendaal;2;2
2000-2001;07/04/2001;FC Twente;RKC Waalwijk;1;1
2000-2001;07/04/2001;SC Heerenveen;NEC;5;0
2000-2001;07/04/2001;Vitesse;Willem II;1;2
2000-2001;08/04/2001;Ajax;PSV;0;1
2000-2001;08/04/2001;FC Groningen;Roda JC;1;3
2000-2001;08/04/2001;NAC;Feyenoord;1;0
2000-2001;08/04/2001;Sparta;Fortuna Sittard;0;2
2000-2001;13/04/2001;Fortuna Sittard;NEC;2;0
2000-2001;14/04/2001;AZ;FC Groningen;2;0
2000-2001;14/04/2001;RBC Roosendaal;Sparta;1;3
2000-2001;14/04/2001;RKC Waalwijk;SC Heerenveen;1;1
2000-2001;15/04/2001;Feyenoord;De Graafschap;1;2
2000-2001;15/04/2001;Vitesse;PSV;0;0
2000-2001;16/04/2001;FC Twente;FC Utrecht;0;0
2000-2001;16/04/2001;Roda JC;Ajax;1;1
2000-2001;16/04/2001;Willem II;NAC;1;3
2000-2001;20/04/2001;FC Utrecht;Willem II;1;0
2000-2001;20/04/2001;PSV;RKC Waalwijk;3;1
2000-2001;21/04/2001;De Graafschap;FC Twente;4;0
2000-2001;21/04/2001;FC Groningen;RBC Roosendaal;2;0
2000-2001;21/04/2001;Feyenoord;NEC;3;0
2000-2001;21/04/2001;NAC;AZ;0;0
2000-2001;21/04/2001;Roda JC;Sparta;1;0
2000-2001;21/04/2001;SC Heerenveen;Fortuna Sittard;6;1
2000-2001;27/04/2001;Ajax;NAC;1;0
2000-2001;28/04/2001;FC Twente;AZ;1;0
2000-2001;28/04/2001;Fortuna Sittard;FC Groningen;1;1
2000-2001;28/04/2001;Sparta;SC Heerenveen;1;3
2000-2001;28/04/2001;Vitesse;De Graafschap;2;1
2000-2001;28/04/2001;Willem II;PSV;1;1
2000-2001;29/04/2001;NEC;RKC Waalwijk;5;1
2000-2001;29/04/2001;RBC Roosendaal;FC Utrecht;1;2
2000-2001;29/04/2001;Roda JC;Feyenoord;1;0
2000-2001;02/05/2001;SC Heerenveen;FC Utrecht;1;2
2000-2001;03/05/2001;RKC Waalwijk;Ajax;2;2
2000-2001;05/05/2001;AZ;Willem II;2;3
2000-2001;05/05/2001;FC Twente;RBC Roosendaal;4;1
2000-2001;05/05/2001;Vitesse;Roda JC;1;1
2000-2001;06/05/2001;De Graafschap;NEC;2;1
2000-2001;06/05/2001;FC Groningen;Sparta;1;1
2000-2001;06/05/2001;Feyenoord;Fortuna Sittard;2;3
2000-2001;06/05/2001;NAC;FC Utrecht;0;0
2000-2001;06/05/2001;PSV;SC Heerenveen;3;0
2000-2001;11/05/2001;Fortuna Sittard;FC Twente;0;2
2000-2001;11/05/2001;RBC Roosendaal;PSV;1;2
2000-2001;12/05/2001;De Graafschap;RKC Waalwijk;0;1
2000-2001;12/05/2001;SC Heerenveen;Vitesse;0;0
2000-2001;12/05/2001;Willem II;FC Groningen;3;0
2000-2001;13/05/2001;Ajax;Feyenoord;3;4
2000-2001;13/05/2001;FC Utrecht;Roda JC;3;0
2000-2001;13/05/2001;NEC;NAC;0;2
2000-2001;13/05/2001;Sparta;AZ;0;3
2000-2001;17/05/2001;Ajax;Vitesse;1;2
2000-2001;20/05/2001;AZ;SC Heerenveen;2;2
2000-2001;20/05/2001;FC Groningen;RKC Waalwijk;1;2
2000-2001;20/05/2001;FC Twente;Ajax;1;3
2000-2001;20/05/2001;Feyenoord;FC Utrecht;2;2
2000-2001;20/05/2001;NAC;Sparta;2;0
2000-2001;20/05/2001;PSV;De Graafschap;3;2
2000-2001;20/05/2001;Roda JC;NEC;4;1
2000-2001;20/05/2001;Vitesse;Fortuna Sittard;3;0
2000-2001;20/05/2001;Willem II;RBC Roosendaal;3;0
2000-2001;27/05/2001;Ajax;AZ;5;1
2000-2001;27/05/2001;FC Utrecht;FC Groningen;6;0
2000-2001;27/05/2001;NEC;PSV;2;4
2000-2001;27/05/2001;RBC Roosendaal;Feyenoord;0;1
2000-2001;27/05/2001;RKC Waalwijk;Roda JC;3;2
2000-2001;27/05/2001;SC Heerenveen;FC Twente;1;1
2000-2001;27/05/2001;Sparta;Vitesse;2;2
2000-2001;31/05/2001;De Graafschap;NAC;1;1
2000-2001;31/05/2001;Fortuna Sittard;Willem II;4;1
2001-2002;17/08/2001;FC Twente;RKC Waalwijk;1;0
2001-2002;18/08/2001;De Graafschap;AZ;3;0
2001-2002;18/08/2001;FC Den Bosch;SC Heerenveen;0;0
2001-2002;18/08/2001;FC Groningen;PSV;2;2
2001-2002;18/08/2001;NAC;FC Utrecht;1;0
2001-2002;19/08/2001;Ajax;Roda JC;1;1
2001-2002;19/08/2001;Feyenoord;Sparta;5;0
2001-2002;19/08/2001;Fortuna Sittard;Vitesse;0;0
2001-2002;19/08/2001;Willem II;NEC;3;1
2001-2002;21/08/2001;NAC;FC Twente;3;3
2001-2002;22/08/2001;FC Groningen;Willem II;1;0
2001-2002;22/08/2001;Fortuna Sittard;De Graafschap;2;1
2001-2002;22/08/2001;NEC;RKC Waalwijk;1;0
2001-2002;22/08/2001;PSV;FC Den Bosch;3;2
2001-2002;22/08/2001;Roda JC;Feyenoord;0;2
2001-2002;22/08/2001;Sparta;FC Utrecht;3;1
2001-2002;22/08/2001;Vitesse;AZ;1;0
2001-2002;24/08/2001;SC Heerenveen;NAC;5;0
2001-2002;25/08/2001;AZ;Sparta;3;0
2001-2002;25/08/2001;De Graafschap;NEC;1;1
2001-2002;25/08/2001;FC Twente;Roda JC;3;0
2001-2002;25/08/2001;Vitesse;FC Utrecht;1;0
2001-2002;25/08/2001;Willem II;PSV;3;1
2001-2002;26/08/2001;FC Den Bosch;Fortuna Sittard;4;0
2001-2002;26/08/2001;Feyenoord;Ajax;1;2
2001-2002;26/08/2001;RKC Waalwijk;FC Groningen;4;0
2001-2002;07/09/2001;SC Heerenveen;Vitesse;1;1
2001-2002;08/09/2001;AZ;NAC;2;1
2001-2002;08/09/2001;FC Twente;Ajax;0;2
2001-2002;08/09/2001;NEC;Feyenoord;0;3
2001-2002;08/09/2001;PSV;Fortuna Sittard;3;0
2001-2002;08/09/2001;Roda JC;De Graafschap;0;1
2001-2002;09/09/2001;FC Utrecht;FC Groningen;3;1
2001-2002;09/09/2001;Sparta;RKC Waalwijk;0;0
2001-2002;09/09/2001;Willem II;FC Den Bosch;1;1
2001-2002;14/09/2001;Fortuna Sittard;Willem II;1;2
2001-2002;15/09/2001;Feyenoord;De Graafschap;2;0
2001-2002;15/09/2001;NAC;PSV;2;0
2001-2002;15/09/2001;Vitesse;Sparta;1;1
2001-2002;16/09/2001;Ajax;AZ;1;0
2001-2002;16/09/2001;FC Den Bosch;NEC;2;1
2001-2002;16/09/2001;FC Groningen;FC Twente;3;0
2001-2002;16/09/2001;FC Utrecht;Roda JC;4;1
2001-2002;16/09/2001;RKC Waalwijk;SC Heerenveen;2;1
2001-2002;21/09/2001;Roda JC;FC Den Bosch;4;1
2001-2002;22/09/2001;RKC Waalwijk;Fortuna Sittard;1;0
2001-2002;22/09/2001;SC Heerenveen;PSV;4;1
2001-2002;23/09/2001;Ajax;Sparta;3;0
2001-2002;23/09/2001;AZ;FC Utrecht;1;0
2001-2002;23/09/2001;De Graafschap;Vitesse;0;2
2001-2002;23/09/2001;NEC;FC Groningen;1;0
2001-2002;28/09/2001;De Graafschap;NAC;4;2
2001-2002;29/09/2001;Fortuna Sittard;NEC;2;2
2001-2002;29/09/2001;PSV;Vitesse;0;2
2001-2002;29/09/2001;Willem II;AZ;2;2
2001-2002;30/09/2001;FC Den Bosch;Feyenoord;0;0
2001-2002;30/09/2001;FC Groningen;Ajax;1;4
2001-2002;30/09/2001;FC Utrecht;RKC Waalwijk;2;1
2001-2002;30/09/2001;Roda JC;SC Heerenveen;0;2
2001-2002;30/09/2001;Sparta;FC Twente;1;1
2001-2002;07/10/2001;Sparta;FC Den Bosch;1;1
2001-2002;09/10/2001;AZ;PSV;1;1
2001-2002;09/10/2001;FC Twente;Willem II;0;0
2001-2002;09/10/2001;NAC;Roda JC;2;1
2001-2002;09/10/2001;RKC Waalwijk;De Graafschap;2;0
2001-2002;10/10/2001;Ajax;NEC;5;0
2001-2002;10/10/2001;SC Heerenveen;FC Utrecht;1;2
2001-2002;12/10/2001;Roda JC;PSV;0;1
2001-2002;13/10/2001;Fortuna Sittard;Sparta;3;4
2001-2002;13/10/2001;RKC Waalwijk;Ajax;0;2
2001-2002;13/10/2001;SC Heerenveen;AZ;2;1
2001-2002;14/10/2001;De Graafschap;FC Twente;4;2
2001-2002;14/10/2001;FC Utrecht;Willem II;3;1
2001-2002;14/10/2001;Feyenoord;FC Groningen;1;0
2001-2002;14/10/2001;NAC;FC Den Bosch;0;0
2001-2002;14/10/2001;NEC;Vitesse;1;0
2001-2002;17/10/2001;NAC;Willem II;1;1
2001-2002;17/10/2001;Vitesse;FC Groningen;1;0
2001-2002;20/10/2001;AZ;Feyenoord;1;3
2001-2002;20/10/2001;PSV;De Graafschap;4;0
2001-2002;20/10/2001;Sparta;Roda JC;0;3
2001-2002;20/10/2001;Vitesse;NAC;1;0
2001-2002;20/10/2001;Willem II;RKC Waalwijk;3;1
2001-2002;21/10/2001;FC Den Bosch;FC Utrecht;1;1
2001-2002;21/10/2001;FC Groningen;SC Heerenveen;1;1
2001-2002;21/10/2001;NEC;FC Twente;2;0
2001-2002;24/10/2001;SC Heerenveen;Ajax;5;1
2001-2002;26/10/2001;Roda JC;NEC;0;0
2001-2002;27/10/2001;AZ;Fortuna Sittard;3;0
2001-2002;27/10/2001;FC Twente;Vitesse;0;0
2001-2002;27/10/2001;PSV;RKC Waalwijk;2;0
2001-2002;27/10/2001;SC Heerenveen;De Graafschap;1;0
2001-2002;28/10/2001;Ajax;Willem II;4;1
2001-2002;28/10/2001;FC Groningen;FC Den Bosch;2;0
2001-2002;28/10/2001;Feyenoord;FC Utrecht;4;0
2001-2002;30/10/2001;Sparta;NAC;2;3
2001-2002;02/11/2001;Willem II;Vitesse;1;1
2001-2002;03/11/2001;Fortuna Sittard;SC Heerenveen;1;0
2001-2002;03/11/2001;NEC;AZ;1;0
2001-2002;03/11/2001;RKC Waalwijk;FC Den Bosch;3;3
2001-2002;03/11/2001;Sparta;PSV;2;1
2001-2002;04/11/2001;De Graafschap;Ajax;1;1
2001-2002;04/11/2001;FC Utrecht;FC Twente;1;1
2001-2002;04/11/2001;NAC;Feyenoord;2;1
2001-2002;04/11/2001;Roda JC;FC Groningen;3;1
2001-2002;16/11/2001;SC Heerenveen;Sparta;3;0
2001-2002;17/11/2001;AZ;RKC Waalwijk;0;1
2001-2002;17/11/2001;FC Den Bosch;FC Twente;1;3
2001-2002;17/11/2001;Feyenoord;Vitesse;3;2
2001-2002;17/11/2001;PSV;NEC;3;1
2001-2002;17/11/2001;Willem II;Roda JC;1;1
2001-2002;18/11/2001;Ajax;NAC;1;3
2001-2002;18/11/2001;FC Groningen;Fortuna Sittard;4;2
2001-2002;18/11/2001;FC Utrecht;De Graafschap;6;0
2001-2002;23/11/2001;AZ;FC Den Bosch;3;2
2001-2002;24/11/2001;De Graafschap;Sparta;3;0
2001-2002;24/11/2001;FC Twente;SC Heerenveen;0;0
2001-2002;24/11/2001;Fortuna Sittard;RKC Waalwijk;1;4
2001-2002;24/11/2001;NAC;FC Groningen;5;0
2001-2002;24/11/2001;Vitesse;Roda JC;2;0
2001-2002;25/11/2001;Ajax;PSV;1;3
2001-2002;25/11/2001;Feyenoord;Willem II;3;1
2001-2002;25/11/2001;NEC;FC Utrecht;0;3
2001-2002;27/11/2001;FC Den Bosch;De Graafschap;3;1
2001-2002;27/11/2001;FC Groningen;AZ;0;1
2001-2002;28/11/2001;Ajax;FC Twente;3;2
2001-2002;28/11/2001;FC Utrecht;PSV;3;3
2001-2002;28/11/2001;NEC;NAC;1;3
2001-2002;28/11/2001;RKC Waalwijk;Feyenoord;2;3
2001-2002;28/11/2001;Roda JC;Fortuna Sittard;1;0
2001-2002;28/11/2001;Sparta;Willem II;3;2
2001-2002;30/11/2001;De Graafschap;FC Groningen;1;2
2001-2002;01/12/2001;FC Twente;Fortuna Sittard;1;1
2001-2002;01/12/2001;PSV;AZ;3;0
2001-2002;01/12/2001;RKC Waalwijk;Roda JC;3;0
2001-2002;01/12/2001;SC Heerenveen;Feyenoord;1;0
2001-2002;02/12/2001;FC Utrecht;Vitesse;3;1
2001-2002;02/12/2001;Sparta;NEC;0;0
2001-2002;02/12/2001;Willem II;NAC;2;2
2001-2002;04/12/2001;Ajax;Fortuna Sittard;4;0
2001-2002;07/12/2001;Fortuna Sittard;FC Den Bosch;1;3
2001-2002;07/12/2001;Vitesse;De Graafschap;2;1
2001-2002;08/12/2001;AZ;Roda JC;1;2
2001-2002;08/12/2001;NAC;RKC Waalwijk;0;1
2001-2002;08/12/2001;Willem II;SC Heerenveen;2;2
2001-2002;09/12/2001;FC Groningen;Sparta;0;0
2001-2002;09/12/2001;Feyenoord;NEC;5;0
2001-2002;09/12/2001;PSV;FC Twente;1;0
2001-2002;14/12/2001;Fortuna Sittard;NAC;2;3
2001-2002;15/12/2001;De Graafschap;Willem II;1;1
2001-2002;15/12/2001;FC Den Bosch;Vitesse;4;1
2001-2002;15/12/2001;FC Twente;AZ;0;0
2001-2002;15/12/2001;Roda JC;Ajax;1;1
2001-2002;16/12/2001;FC Groningen;FC Utrecht;2;2
2001-2002;16/12/2001;Feyenoord;PSV;0;0
2001-2002;16/12/2001;NEC;SC Heerenveen;1;0
2001-2002;16/12/2001;RKC Waalwijk;Sparta;1;1
2001-2002;19/12/2001;Ajax;Vitesse;5;1
2001-2002;19/12/2001;FC Twente;Feyenoord;3;2
2001-2002;19/12/2001;Fortuna Sittard;FC Utrecht;3;3
